customer_id,age,gender,city,county,signup_date,last_purchase_date,tenure_months,monthly_charges,total_charges,plan_type,payment_method,contract,num_support_tickets,has_internet,data_usage_gb,is_senior_citizen,dependents,device_model,referrer,feedback_text,churn
CUST000029,27.0,Other,Thika,Nakuru,10/12/2021,26/04/2022,47.0,1159.54,54537.96,Standard,Cash,Month-to-month,3.0,Yes,34.7,0,Yes,Tecno A12,Google,Unknown,No
CUST000030,34.0,Female,Thika,Uasin Gishu,7/9/2021,1/11/2022,50.0,618.77,31017.66,basic,Bank transfer,One year,2.0,1,33.78,0,yes,Realme Y41,Unknown,Sawa kabisa!,No
CUST000031,15.0,Male,Niarobi,Nairobi,9/20/2019,18/12/2019,72.0,1051.7,Unknown,Standard,Credit card,Two year,3.0,N,26.35,1,Yes,Apple P45,Facebook,Unknown,No
CUST000032,23.0,Male,Meru,Uasin Gishu,16-Oct-22,13/12/2022,35.0,607.84,21475.43,Basic,MPesa,Month-to-month,2.0,N,26.35,0,Yes,Tecno A72,Twitter/X,Customer care took long to respond.!!!,No
CUST000033,31.0,F,Nairobi,Nairobi,8/6/2025,8/8/2025,0.0,Unknown, ,Standard,Bank transfer,Month-to-month,3.0,Y,18.07,No,no,Infinix P1,Billboard,Unknown,Yes
CUST000034,33.0,M,Nyeri,Machakos,18-Mar-25,27/01/2026,5.0,805.49,4104.24,Basic,Unknown,One year,3.0,Yes,25.74,No,No,Huawei Y16,TV,Please call me back.,Yes
CUST000035,31.0,Male,Nrb,Mombasa,7/31/2021,19-Nov-21,49.0,671.78,Unknown,Basic,MPesa,Two year,2.0,0,0.0,Yes,No,Samsung A76,Radio,Network drops sometimes in the evening.,No
CUST000036,50.0,female,Nyeri,Nakuru,7/8/2025,1/12/2027,0.0,KES 804.24,-136.41,basic,Credit card,One year,2.0,No,0.0,Yes,No,Realme S32,Friend,Great service!,No
CUST000037,20.0,female,Nakuru,Nyeri,6/21/2021,25-Jun-21,51.0,Unknown,Unknown,Standard,MPesa,Two year,4.0,No,0.0,Yes,Unknown,Apple Note13,Unknown,Support was helpful via M-Pesa reversal.,Yes
CUST000038,54.0,Other,Nrb,Kisumu,1/30/2019,9/22/2019,80.0,597.31,Unknown,Basic,Bank transfer,Month-to-month,2.0,Yes,0.0,1,No,Xiaomi A30,Friend,Great service!,No
CUST000039,34.0,F,Nrb,Nakuru,10/18/2019,1/25/2020,69.0,1637.2,112973.2,Standard,MPesa,Month-to-month,1.0,1,37.4,Yes,no,Oppo S60,TV,Overcharged? Not sure.,No
CUST000040,27.0,female,Unknown,Nairobi,30/08/2019,6/18/2020,73.0,737.17,Unknown,Basic,Cash,1-yr,0.0,Yes,70.93,Yes,No,Xiaomi S38,Friend,App keeps logging me out.,Yes
CUST000041,43.0,male,Mombasa,Nakuru,26/07/2021,9/3/2021,50.0,920.35,46130.6,Basic,Bank transfer,Month-to-month,1.0,FALSE,26.35,No,Yes,Vivo C42,Unknown,Unknown,No
CUST000042,13.0,male,Unknown,Meru,10/4/2019,8/20/2019,72.0,96742.51,Unknown,Standard,Cash,2-yr,3.0,TRUE,52.67,1,No,Apple Y34,Google,Support was helpful via M-Pesa reversal.,No
CUST000043,36.0,M,Niarobi,Nairobi,5/9/2019,5/27/2019,77.0,975.16,74898.64,basic,Bank transfer,One year,3.0,No,26.35,0,no,Nokia C35,TV,Unknown,No
CUST000044,54.0,F,Thika,Nakuru,9/15/2022,9/17/2022,36.0,743.79,"26,291.59",Basic,Cash,Month-to-month,4.0,FALSE,0.0,0,No,Oppo C89,Unknown,Great service!,No
CUST000045,45.0,Female,Machakos,Kiambu,18-Oct-19,3/14/2020,71.0,930.99,Unknown,Basic,M-Pesa,Month-to-month,4.0,No,0.0,1,no,Apple S44,Radio,Overcharged? Not sure.,No
CUST000046,34.0,F,Nakuru,Nyeri,10/6/2024,10/25/2024,11.0,578.98,6315.67,Basic,M-Pesa,One year,2.0,0,26.35,1,No,Samsung A36,Unknown,Fiber upgrade requested.,No
CUST000047,40.0,Other,Naivasha,Kisumu,9/1/2021,5/13/2022,48.0,762.72,36827.2,Basic,Credit card,Month-to-month,1.0,FALSE,0.0,0,no,Tecno A12,Google,Network drops sometimes in the evening.,Yes
CUST000048,38.0,Other,Nrb,Nyeri,2/14/2022,14/05/2022,43.0,1560.44,66664.39,Standard,M-Pesa,One year,0.0,No,26.35,1,no,Infinix P1,Unknown,Please call me back. (pls),No
CUST000049,45.0,F,Niarobi,Kiambu,5/27/2021,6/10/2021,52.0,KES 539.48,28232.79,Basic,Bank transfer,Month-to-month,0.0,1,111.66,0,no,Samsung S29,Unknown,Customer care took long to respond.,No
CUST000050,33.0,Female,Kisumu,Kisumu,1/17/2025,11/23/2025,7.0,680.93,5105.52,Basic,Mpesa,1-yr,1.0,FALSE,0.0,0,No,Nokia C35,Unknown,Unknown,Yes
CUST000051,28.0,Male,Eldoret,Machakos,6/25/2020,1/7/2020,63.0,Unknown,Unknown,Premium,Credit card,Two year,3.0,Y,76.06,No,no,Oppo S69,Billboard,Customer care took long to respond.,No
CUST000052,37.0,Male,Nyeri,Kiambu,27/05/2025,9/4/2026,3.0,733.3,2052.17,Basic,Mpesa,Month-to-month,1.0,0,26.35,Yes,yes,Unknown,Unknown,Please call me back.,Yes
CUST000053,32.0,Male,Niarobi,Meru,6/18/2025,6/1/2026,2.0,not available,2005.83,Basic,Bank transfer,One year,1.0,No,26.35,0,Yes,Realme Note51,Radio,Please call me back.,No
CUST000054,34.0,male,Nrb,Mombasa,20/04/2024,6/2/2024,16.0,3564.78,Unknown,Premium,Mpesa,Month-to-month,3.0,No,26.35,0,yes,Huawei Y16,Unknown,Great service!,Yes
CUST000055,31.0,Female,Nyeri,Kiambu,9/22/2021,12/25/2021,48.0,KES 738.24,35093.03,Basic,M-Pesa,One year,1.0,Y,118.71,1,No,Huawei Y16,Facebook,Support was helpful via M-Pesa reversal.,Yes
CUST000056,32.0,Male,Nakuru,Nakuru,4/21/2024,1/15/2025,16.0,Unknown,Unknown,Standard,Credit card,Month-to-month,2.0,0,26.35,No,No,Huawei Note11,Facebook,Switching from competitor soon.,Yes
CUST000057,35.0,female,Mombasa,Kisumu,26/07/2023,21/08/2023,25.0,1563.29,39193.49,Standard,Credit card,Month-to-month,2.0,Yes,84.37,1,Unknown,Oppo C89,X,Support was helpful via M-Pesa reversal.,No
CUST000058,12.0,Male,Machakos,Nyeri,2/18/2021,2/18/2021,55.0,2209.62, ,Premium,M-Pesa,Two year,2.0,No,0.0,0,No,Apple S44,Friend,Fiber upgrade requested.!!!,No
CUST000059,24.0,female,Mombasa,Kiambu,2/2/2020,4/18/2021,68.0,953.03,64822.51,Basic,Credit card,One year,1.0,0,0.0,0,No,Vivo A28,TV,App keeps logging me out.,Yes
CUST000060,46.0,male,Unknown,Nakuru,1/11/2023,30/08/2024,22.0,619.58,13496.59,Basic,MPesa,Month-to-month,2.0,FALSE,0.0,Yes,yes,Apple Note13,Friend,"Stable internet, happy so far.",No
CUST000061,42.0,male,Thika,Kiambu,22/12/2022,3-Mar-23,32.0,2099.96,67182.11,Premium,Cash,Month-to-month,5.0,1,415.61,No,yes,Samsung S29,TV,Network drops sometimes in the evening.,No
CUST000062,28.0,Male,Nairobi,Nakuru,1-Oct-23,10/21/2024,23.0,-460.55,-10579.43,Basic,Unknown,One year,2.0,1,63.02,1,Yes,Infinix Note76,Facebook,Network drops sometimes in the evening.,No
CUST000063,42.0,Unknown,Machakos,Kiambu,8/11/2023,16/10/2023,25.0,1204.46,30004.56,Standard,MPesa,Month-to-month,2.0,TRUE,97.07,1,no,Vivo Note35,TV,Customer care took long to respond.,No
CUST000064,22.0,F,Mombasa,Nakuru,3/27/2024,2021/13/40,17.0,1271.44,21893.85,Standard,Cash,One year,1.0,No,26.35,Yes,No,Samsung A36,Unknown,Great service!,No
CUST000065,30.0,F,Eldoret,Machakos,8/10/2019,29-Dec-20,73.0,835.53, ,Basic,Bank transfer,Month-to-month,1.0,Yes,64.32,0,yes,Tecno Y78,Radio,Great service!,No
CUST000066,22.0,M,Naivasha,Nyeri,8-Feb-20,4/22/2020,67.0,1019.8,68528.41,Standard,Mpesa,2-yr,0.0,N,0.0,1,No,Vivo C42,Friend,Customer care took long to respond.,No
CUST000067,32.0,Female,Thika,Meru,6/9/2019,30-Sep-21,73.0,"1,656.76","120,810.92",Standard,Credit card,Month-to-month,2.0,1,90.23,No,no,Tecno Y78,Facebook,Great service!,No
CUST000068,10.0,male,Kisumu,Unknown,8-Jul-23,21/01/2024,26.0,Unknown,74534.17,Premium,M-Pesa,Month-to-month,2.0,TRUE,484.86,1,no,Infinix S90,Unknown,Network drops sometimes in the evening.,No
CUST000069,32.0,Other,Nrb,Nairobi,10/21/2022,17/03/2025,34.0,767.51,26047.92,Basic,M-Pesa,Two year,2.0,0,0.0,Yes,yes,Infinix S90,Radio,Fiber upgrade requested.,No
CUST000070,36.0,Unknown,Nyeri,Nakuru,3/23/2020,20-May-20,66.0,2785.46,184024.72,Premium,Bank transfer,Month-to-month,1.0,Y,74.48,No,yes,Tecno A72,Twitter/X,App keeps logging me out.,Yes
CUST000071,26.0,Male,Naivasha,Machakos,10/15/2021,12/16/2021,47.0,705.98,32995.98,basic,M-Pesa,Month-to-month,1.0,TRUE,67.66,Yes,Yes,Oppo S60,Billboard,App keeps logging me out.,No
CUST000072,45.0,female,Nrb,Kiambu,23-Feb-21,23-Jun-21,55.0,1181.72,65151.91,Standard,Cash,Month-to-month,0.0,1,0.0,No,no,Vivo C42,Unknown,Sawa kabisa!,No
CUST000073,30.0,Other,Niarobi,Meru,2/18/2021,7/15/2021,55.0,879.36,48158.3,Basic,Credit card,Month-to-month,1.0,1,71.94,1,no,Infinix C70,Google,Network drops sometimes in the evening.,No
CUST000074,27.0,female,Meru,Uasin Gishu,1/5/2025,2/23/2025,8.0,2528.01,20298.65,Premium,Cash,One year,3.0,Yes,74.12,No,No,Infinix Note76,Unknown,Unknown,No
CUST000075,49.0,male,Unknown,Nakuru,1/12/2024,11/23/2023,20.0,1578.84,31880.19,Standard,MPesa,Month-to-month,6.0,FALSE,26.35,0,no,Xiaomi S9,X,Unknown,No
CUST000076,51.0,female,Nairobi,Unknown,7/28/2020,26-May-21,62.0,"KES 2,189.82",135828.79,Premium,Mpesa,1-yr,5.0,FALSE,26.35,Yes,Unknown,Apple P20,Unknown,App keeps logging me out.,Yes
CUST000077,32.0,Female,Nairobi ,Unknown,25-Sep-23,1/18/2024,23.0,837, ,Unknown,Mpesa,Month-to-month,2.0,Y,48.59,1,no,Tecno Note5,Unknown,Customer care took long to respond.,No
CUST000078,24.0,Female,Eldoret,Meru,21-Jan-21,24-Jun-21,56.0,899.86,50400.75,Basic,MPesa,One year,4.0,FALSE,0.0,1,yes,Tecno A72,Radio,"Stable internet, happy so far.",Yes
CUST000079,51.0,M,Nyeri,Uasin Gishu,2/14/2022,25-Sep-22,43.0,646.97,27698.12,Basic,Bank transfer,One year,0.0,Y,58.66,0,No,Tecno S30,Facebook,Unknown,No
CUST000080,20.0,F,Mombasa,Nakuru,9-Mar-24,3/27/2025,18.0,1750.77,31404.61,Standard,Credit card,Month-to-month,2.0,FALSE,0.0,No,Yes,Oppo Y82,Google,Network drops sometimes in the evening.,Yes
CUST000081,53.0,Other,Niarobi,Meru,10/20/2021,11/1/2022,47.0,917.29,43177.44,Basic,Mpesa,Month-to-month,1.0,No,26.35,No,no,Xiaomi P59,Unknown,Unknown,Yes
CUST000082,21.0,Female,Nairobi ,Machakos,5/11/2019,1/15/2020,71.0,2867.69,203660,Premium,Credit card,Month-to-month,5.0,Yes,54.58,1,Yes,Realme Note51,Radio,Unknown,No
CUST000083,31.0,F,Machakos,Nakuru,21-Dec-23,6/30/2025,20.0,2718.42,54321.62,Premium,MPesa,Month-to-month,1.0,N,26.35,Yes,No,Huawei A59,Radio,Fiber upgrade requested.,No
CUST000084,39.0,F,Naivasha,Mombasa,3/4/2025,8/12/2026,39.0,1319.65,Unknown,Standard,Credit card,One year,1.0,FALSE,0.0,No,Unknown,Tecno A72,Facebook,"Stable internet, happy so far.",Yes
CUST000085,45.0,Other,Thika,Meru,6/2/2020,14/02/2020,67.0,3688.42, ,Premium,Cash,One year,4.0,N,0.0,0,no,Realme S34,Unknown,Please call me back.,No
CUST000086,33.0,Female,Mombasa,Machakos,27/07/2019,8/30/2019,74.0,3896.5,Unknown,Premium,MPesa,One year,2.0,1,1266.11,Yes,Unknown,Realme Y41,Friend,Network drops sometimes in the evening.,No
CUST000087,30.0,Other,Eldoret,Nairobi,1/23/2025,4/9/2025,7.0,846.9,6002.22,Basic,Credit card,Month-to-month,2.0,N,0.0,0,yes,Huawei Note11,Radio,"Stable internet, happy so far.",Yes
CUST000088,38.0,F,Niarobi,Uasin Gishu,3/2/2019,11/24/2019,79.0,818.95,"65,005.00",Basic,MPesa,Month-to-month,1.0,Y,93.18,1,yes,Apple P45,Google,App keeps logging me out.,No
CUST000089,29.0,Female,Nairobi ,Nakuru,1/18/2020,11/5/2020,68.0,1996.91,135805.67,Standard,MPesa,One year,4.0,No,0.0,No,Yes,Huawei P74,Unknown,App keeps logging me out.,No
CUST000090,31.0,F,Kisumu,Nakuru,8/26/2021,11/7/2021,49.0,563.68,27606.1,Basic,Mpesa,Month-to-month,2.0,Y,32.51,1,No,Nokia S48,Friend,Unknown,No
CUST000091,51.0,M,Nakuru,Unknown,12/11/2020,11/1/2021,58.0,816.2,47150.5,Basic,Mpesa,Month-to-month,2.0,N,0.0,Yes,Yes,Apple Note13,Friend,Unknown,No
CUST000092,24.0,F,Nakuru,Meru,7/23/2023,12/1/2025,25.0,1466.18,36579.66,Standard,Credit card,One year,3.0,N,0.0,0,yes,Apple Note13,Unknown,Fiber upgrade requested.,Yes
CUST000093,33.0,female,Meru,Nakuru,6/12/2024,12/6/2024,14.0,669.04, ,Basic,M-Pesa,One year,4.0,No,0.0,Yes,yes,Vivo Note35,Billboard,Sawa kabisa!,No
CUST000094,31.0,female,Nyeri,Nakuru,5/25/2024,28-Jul-24,39.0,3790.13, ,Premium,Cash,One year,1.0,No,0.0,0,Unknown,Nokia C88,Facebook,App keeps logging me out.,Yes
CUST000095,18.0,female,Kisumu,Machakos,25/05/2021,9/8/2021,52.0,KES 771.50,39946.19,Basic,Unknown,One year,3.0,1,84.41,0,no,Huawei Note11,X,Fiber upgrade requested.,No
CUST000096,3.0,Male,Nyeri,Meru,7/1/2023,2/14/2024,30.0,"KES 1,410.79",42345.78,Standard,Cash,Month-to-month,1.0,TRUE,75.22,1,yes,Oppo C32,Facebook,Customer care took long to respond.,Yes
CUST000097,35.0,M,Kisumu,Kiambu,8/29/2019,26/07/2020,73.0,1519.61,110815.17,Standard,Cash,One year,2.0,Yes,24.78,Yes,Yes,Tecno Note5,Twitter/X,Customer care took long to respond.,Yes
CUST000098,42.0,male,Nakuru,Kiambu,11/5/2020,2021/13/40,58.0,1030.93,59525.17,Standard,Cash,Month-to-month,3.0,Yes,85.52,Yes,Yes,Vivo A30,Facebook,Fiber upgrade requested.,Yes
CUST000099,30.0,Male,Unknown,Nyeri,2/4/2023,7/9/2023,29.0,998.47,29022.86,Basic,M-Pesa,Month-to-month,3.0,0,0.0,1,no,Huawei P74,Unknown,Fiber upgrade requested.,No
CUST000100,32.0,F,Meru,Meru,9/1/2019,24/02/2019,81.0,1657.72,"134,382.07",Standard,Mpesa,Month-to-month,4.0,0,0.0,No,No,Huawei C80,Unknown,Switching from competitor soon.,No
CUST000101,34.0,Other,Eldoret,Kiambu,5/19/2023,6/16/2023,27.0,910.28,24531.63,Basic,Cash,Two year,3.0,TRUE,1.94,No,no,Infinix S90,Unknown,"Stable internet, happy so far.",Yes
CUST000102,46.0,male,Niarobi,Unknown,12/22/2021,2/19/2022,45.0,1530.06,Unknown,Standard,Bank transfer,Month-to-month,1.0,TRUE,86.35,1,Yes,Oppo C89,Unknown,Switching from competitor soon.,Yes
CUST000103,43.0,male,Nairobi,Nairobi,2/7/2024,10/8/2024,19.0,1038.96,"19,760.93",Standard,MPesa,Month-to-month,5.0,Yes,121.26,0,no,Huawei C80,Unknown,Please call me back.,Yes
CUST000104,36.0,Male,Nrb,Kiambu,14/03/2022,6-Feb-23,42.0,561.92,23439.7,Basic,MPesa,Month-to-month,2.0,Yes,62.55,No,Unknown,Tecno Y78,TV,Network drops sometimes in the evening.,No
CUST000105,40.0,male,Kisumu,Nakuru,9/29/2023,10/24/2023,21.0,973.89,20714.65,Basic,Bank transfer,1-yr,2.0,FALSE,0.0,Yes,yes,Realme S84,Radio,Customer care took long to respond.,No
CUST000106,28.0,M,Machakos,Nakuru,3/26/2025,8/22/2025,5.0,1360.39,6772.39,Standard,Credit card,Month-to-month,1.0,0,26.35,0,No,Nokia S48,TV,Customer care took long to respond.,No
CUST000107,23.0,female,Niarobi,Nakuru,16/06/2024,6/12/2024,14.0,675.82,9301.49,Basic,MPesa,Month-to-month,5.0,No,0.0,No,No,Huawei P74,Friend,Unknown,No
CUST000108,34.0,F,Niarobi,Meru,26-Sep-20,15/01/2021,60.0,1856.96,111181.42,Standard,MPesa,Month-to-month,2.0,0,26.35,1,Yes,Huawei Y38,Billboard,Sawa kabisa!,No
CUST000109,21.0,male,Nrb,Nairobi,2/16/2021,18-Nov-21,55.0,"KES 1,791.89",98760.56,Standard,Cash,Month-to-month,0.0,N,0.0,Yes,yes,Realme Y41,Twitter/X,Please call me back.,No
CUST000110,47.0,F,Kisumu,Kiambu,30-Apr-22,24/07/2022,40.0,589.8,23625.8,Basic,Cash,Month-to-month,0.0,Yes,30.45,No,no,Huawei C80,Unknown,App keeps logging me out.,No
CUST000111,37.0,male,Eldoret,Unknown,10-Jun-21,27-Mar-22,51.0,1113.3,56613.44,Standard,Credit card,One year,0.0,No,0.0,No,No,Realme S32,TV,Unknown,No
CUST000112,28.0,Female,Thika,Mombasa,28/08/2019,1/4/2020,77.0,1147.96, ,Standard,Cash,Month-to-month,0.0,Y,104.14,0,no,Oppo C89,Radio,Support was helpful via M-Pesa reversal.,No
CUST000113,37.0,F,Nakuru,Nakuru,30/06/2025,16/06/2025,2.0,717.27,1663.75,Basic,Cash,One year,2.0,No,0.0,No,No,Unknown,Billboard,"Stable internet, happy so far.",No
CUST000114,25.0,Male,Unknown,Nakuru,1/29/2025,14/12/2025,7.0,1697.17,12101.18,Standard,M-Pesa,Month-to-month,2.0,0,0.0,0,yes,Realme Note51,Facebook,Too expensive for the value.,No
CUST000115,27.0,Unknown,Machakos,Machakos,7-Sep-19,1/8/2020,72.0,Unknown,57891.56,Basic,Cash,Unknown,3.0,TRUE,67.91,1,Unknown,Nokia C47,TV,Network drops sometimes in the evening.,No
CUST000116,43.0,M,Meru,Unknown,8/7/2022,8/1/2022,38.0,46068.48,1750667.13,Basic,M-Pesa,Month-to-month,4.0,N,0.0,1,Yes,Apple A12,Twitter/X,Customer care took long to respond.,No
CUST000117,13.0,male,Naivasha,Nakuru,8/23/2019,2021/13/40,73.0,1659.99,121250.28,Standard,MPesa,Month-to-month,4.0,No,0.0,1,yes,Infinix Note76,Unknown,Switching from competitor soon.,Yes
CUST000118,145.0,Female,Nyeri,Nakuru,25/07/2019,25/07/2019,74.0,608.79,45291.78,Basic,Bank transfer,Month-to-month,1.0,No,0.0,0,yes,Nokia C47,Billboard,Unknown,No
CUST000119,16.0,male,Meru,Nairobi,20-Jul-25,9/10/2025,1.0,612.58,254.97,Basic,Mpesa,Month-to-month,2.0,FALSE,0.0,No,No,Apple P45,Unknown,"Stable internet, happy so far.",No
CUST000120,32.0,M,Nakuru,Kiambu,6/5/2024,8/9/2025,16.0,1292.66,Unknown,Standard,M-Pesa,Month-to-month,4.0,1,121.26,Yes,No,Tecno Y78,Unknown,App keeps logging me out.,Yes
CUST000121,24.0,F,Eldoret,Nakuru,8/21/2024,5/2/2028,12.0,955.91,Unknown,Basic,Credit card,One year,3.0,N,26.35,Yes,No,Nokia C88,Unknown,Fiber upgrade requested.,Yes
CUST000122,57.0,Unknown,Nrb,Nakuru,12/15/2024,30/04/2025,8.0,1756.65,Unknown,Standard,M-Pesa,Month-to-month,2.0,N,0.0,0,Yes,Vivo Note35,Twitter/X,Fiber upgrade requested.,No
CUST000123,45.0,M,Nairobi ,Uasin Gishu,6/10/2020,22/10/2020,59.0,1286.14,75643.36,Standard,Bank transfer,One year,2.0,1,68.57,No,no,Tecno Y78,Radio,Unknown,No
CUST000124,15.0,Other,Nakuru,Nakuru,21/08/2019,3/25/2021,73.0,866.82, ,Basic,M-Pesa,Month-to-month,0.0,No,0.0,No,no,Samsung A36,Google,Too expensive for the value. ASAP,No
CUST000125,27.0,M,Nrb,Uasin Gishu,11/25/2019,3/22/2020,39.0,1162.56,Unknown,Standard,MPesa,1-yr,2.0,No,26.35,Yes,no,Xiaomi S38,Friend,Great service!,No
CUST000126,62.0,Other,Machakos,Kisumu,31/01/2021,4/4/2021,55.0,741.57,40961.71,Basic,Cash,One year,2.0,FALSE,0.0,Yes,no,Apple P20,Friend,Customer care took long to respond.,No
CUST000127,35.0,M,Nyeri,Mombasa,8-Oct-19,11/7/2021,-71.0,1718.07,Unknown,Standard,Unknown,Month-to-month,3.0,Yes,40.4,0,No,Huawei Note11,Unknown,Great service!,No
CUST000128,35.0,M,Nyeri,Machakos,6/10/2019,2/12/2019,72.0,2812.66,Unknown,Premium,Mpesa,Month-to-month,3.0,TRUE,853.95,No,Yes,Realme Note51,Twitter/X,Too expensive for the value.,No
