age,county,signup_date,last_purchase_date,tenure_months,monthly_charges,total_charges,num_support_tickets,has_internet,data_usage_gb,is_senior_citizen,dependents,device_model,referrer,feedback_text,churn,gender_Male,gender_Unknown,city_Kisumu,city_Machakos,city_Meru,city_Mombasa,city_Nairobi,city_Nairobi ,city_Naivasha,city_Nakuru,city_Nyeri,city_Thika,city_Unknown,plan_type_Premium,plan_type_Standard,plan_type_Unknown,plan_type_basic,payment_method_Cash,payment_method_Credit card,payment_method_M-Pesa,payment_method_M-pesa,payment_method_MPesa,payment_method_Unknown,contract_one year,contract_two year,contract_unknown
25.0,Mombasa,17/05/2021,22/09/2021,52.0,1917.31,99886.02,4.0,1,51.5,No,0.0,Oppo S60,TV,Customer care took long to respond. ASAP,No,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
36.0,Mombasa,3/4/2021,10/26/2021,53.0,1048.72,40709.825,5.0,1,59.27,No,1.0,Vivo A28,Unknown,Great service!,No,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
28.0,Nyeri,30-Jun-22,10/7/2022,38.0,915.32,34793.02,2.0,1,48.8,1,1.0,Tecno S30,Twitter/X,Unknown,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
20.0,Meru,6/23/2023,21/01/2024,26.0,771.89,20275.23,1.0,0,0.0,1,0.0,Apple Note13,Unknown,Customer care took long to respond....,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53.0,Nakuru,11/30/2023,6/18/2024,21.0,1048.72,40709.825,4.0,1,14.3,0,0.0,Tecno S30,Unknown,Network drops sometimes in the evening.,No,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
20.0,Kisumu,20-Oct-24,21/11/2024,10.0,1868.12,40709.825,1.0,1,45.55,No,,Apple Y34,Friend,NA (pls),No,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
39.0,Nakuru,10/5/2020,5/5/2020,64.0,1102.79,40709.825,2.0,0,0.0,1,0.0,Infinix P1,Unknown,Please call me back.,No,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
27.0,Nakuru,10/12/2021,26/04/2022,47.0,1159.54,54537.96,3.0,1,34.7,0,1.0,Tecno A12,Google,Unknown,No,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
34.0,Uasin Gishu,7/9/2021,1/11/2022,50.0,618.77,31017.66,2.0,1,33.78,0,1.0,Realme Y41,Unknown,Sawa kabisa!,No,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
15.0,Nairobi,9/20/2019,18/12/2019,72.0,1051.7,40709.825,3.0,0,26.1,1,1.0,Apple P45,Facebook,Unknown,No,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
23.0,Uasin Gishu,16-Oct-22,13/12/2022,35.0,607.84,21475.43,2.0,0,26.1,0,1.0,Tecno A72,Twitter/X,Customer care took long to respond.!!!,No,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31.0,Nairobi,8/6/2025,8/8/2025,0.0,1048.72,40709.825,3.0,1,18.07,No,0.0,Infinix P1,Billboard,Unknown,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33.0,Machakos,18-Mar-25,27/01/2026,5.0,805.49,4104.24,3.0,1,25.74,No,0.0,Huawei Y16,TV,Please call me back.,Yes,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
31.0,Mombasa,7/31/2021,19-Nov-21,49.0,671.78,40709.825,2.0,0,0.0,Yes,0.0,Samsung A76,Radio,Network drops sometimes in the evening.,No,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
50.0,Nakuru,7/8/2025,1/12/2027,0.0,1048.72,-136.41,2.0,0,0.0,Yes,0.0,Realme S32,Friend,Great service!,No,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
20.0,Nyeri,6/21/2021,25-Jun-21,51.0,1048.72,40709.825,4.0,0,0.0,Yes,,Apple Note13,Unknown,Support was helpful via M-Pesa reversal.,Yes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
54.0,Kisumu,1/30/2019,9/22/2019,80.0,597.31,40709.825,2.0,1,0.0,1,0.0,Xiaomi A30,Friend,Great service!,No,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,Nakuru,10/18/2019,1/25/2020,69.0,1637.2,112973.2,1.0,1,37.4,Yes,0.0,Oppo S60,TV,Overcharged? Not sure.,No,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
27.0,Nairobi,30/08/2019,6/18/2020,73.0,737.17,40709.825,0.0,1,70.93,Yes,0.0,Xiaomi S38,Friend,App keeps logging me out.,Yes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
43.0,Nakuru,26/07/2021,9/3/2021,50.0,920.35,46130.6,1.0,0,26.1,No,1.0,Vivo C42,Unknown,Unknown,No,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0,Meru,10/4/2019,8/20/2019,72.0,96742.51,40709.825,3.0,1,52.67,1,0.0,Apple Y34,Google,Support was helpful via M-Pesa reversal.,No,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
36.0,Nairobi,5/9/2019,5/27/2019,77.0,975.16,74898.64,3.0,0,26.1,0,0.0,Nokia C35,TV,Unknown,No,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
54.0,Nakuru,9/15/2022,9/17/2022,36.0,743.79,26291.59,4.0,0,0.0,0,0.0,Oppo C89,Unknown,Great service!,No,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45.0,Kiambu,18-Oct-19,3/14/2020,71.0,930.99,40709.825,4.0,0,0.0,1,0.0,Apple S44,Radio,Overcharged? Not sure.,No,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34.0,Nyeri,10/6/2024,10/25/2024,11.0,578.98,6315.67,2.0,0,26.1,1,0.0,Samsung A36,Unknown,Fiber upgrade requested.,No,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
40.0,Kisumu,9/1/2021,5/13/2022,48.0,762.72,36827.2,1.0,0,0.0,0,0.0,Tecno A12,Google,Network drops sometimes in the evening.,Yes,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38.0,Nyeri,2/14/2022,14/05/2022,43.0,1560.44,66664.39,0.0,0,26.1,1,0.0,Infinix P1,Unknown,Please call me back. (pls),No,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
45.0,Kiambu,5/27/2021,6/10/2021,52.0,1048.72,28232.79,0.0,1,111.66,0,0.0,Samsung S29,Unknown,Customer care took long to respond.,No,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,Kisumu,1/17/2025,11/23/2025,7.0,680.93,5105.52,1.0,0,0.0,0,0.0,Nokia C35,Unknown,Unknown,Yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
28.0,Machakos,6/25/2020,1/7/2020,63.0,1048.72,40709.825,3.0,1,76.06,No,0.0,Oppo S69,Billboard,Customer care took long to respond.,No,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
37.0,Kiambu,27/05/2025,9/4/2026,3.0,733.3,2052.17,1.0,0,26.1,Yes,1.0,Unknown,Unknown,Please call me back.,Yes,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32.0,Meru,6/18/2025,6/1/2026,2.0,1048.72,2005.83,1.0,0,26.1,0,1.0,Realme Note51,Radio,Please call me back.,No,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34.0,Mombasa,20/04/2024,6/2/2024,16.0,3564.78,40709.825,3.0,0,26.1,0,1.0,Huawei Y16,Unknown,Great service!,Yes,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
31.0,Kiambu,9/22/2021,12/25/2021,48.0,1048.72,35093.03,1.0,1,118.71,1,0.0,Huawei Y16,Facebook,Support was helpful via M-Pesa reversal.,Yes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
32.0,Nakuru,4/21/2024,1/15/2025,16.0,1048.72,40709.825,2.0,0,26.1,No,0.0,Huawei Note11,Facebook,Switching from competitor soon.,Yes,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
35.0,Kisumu,26/07/2023,21/08/2023,25.0,1563.29,39193.49,2.0,1,84.37,1,,Oppo C89,X,Support was helpful via M-Pesa reversal.,No,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
12.0,Nyeri,2/18/2021,2/18/2021,55.0,2209.62,40709.825,2.0,0,0.0,0,0.0,Apple S44,Friend,Fiber upgrade requested.!!!,No,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
24.0,Kiambu,2/2/2020,4/18/2021,68.0,953.03,64822.51,1.0,0,0.0,0,0.0,Vivo A28,TV,App keeps logging me out.,Yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
46.0,Nakuru,1/11/2023,30/08/2024,22.0,619.58,13496.59,2.0,0,0.0,Yes,1.0,Apple Note13,Friend,"Stable internet, happy so far.",No,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
42.0,Kiambu,22/12/2022,3-Mar-23,32.0,2099.96,67182.11,5.0,1,415.61,No,1.0,Samsung S29,TV,Network drops sometimes in the evening.,No,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
28.0,Nakuru,1-Oct-23,10/21/2024,23.0,-460.55,-10579.43,2.0,1,63.02,1,1.0,Infinix Note76,Facebook,Network drops sometimes in the evening.,No,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
42.0,Kiambu,8/11/2023,16/10/2023,25.0,1204.46,30004.56,2.0,1,97.07,1,0.0,Vivo Note35,TV,Customer care took long to respond.,No,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
22.0,Nakuru,3/27/2024,2021/13/40,17.0,1271.44,21893.85,1.0,0,26.1,Yes,0.0,Samsung A36,Unknown,Great service!,No,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
30.0,Machakos,8/10/2019,29-Dec-20,73.0,835.53,40709.825,1.0,1,64.32,0,1.0,Tecno Y78,Radio,Great service!,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.0,Nyeri,8-Feb-20,4/22/2020,67.0,1019.8,68528.41,0.0,0,0.0,1,0.0,Vivo C42,Friend,Customer care took long to respond.,No,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
32.0,Meru,6/9/2019,30-Sep-21,73.0,1656.76,120810.92,2.0,1,90.23,No,0.0,Tecno Y78,Facebook,Great service!,No,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
10.0,Unknown,8-Jul-23,21/01/2024,26.0,1048.72,74534.17,2.0,1,484.86,1,0.0,Infinix S90,Unknown,Network drops sometimes in the evening.,No,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
32.0,Nairobi,10/21/2022,17/03/2025,34.0,767.51,26047.92,2.0,0,0.0,Yes,1.0,Infinix S90,Radio,Fiber upgrade requested.,No,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
36.0,Nakuru,3/23/2020,20-May-20,66.0,2785.46,184024.72,1.0,1,74.48,No,1.0,Tecno A72,Twitter/X,App keeps logging me out.,Yes,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26.0,Machakos,10/15/2021,12/16/2021,47.0,705.98,32995.98,1.0,1,67.66,Yes,1.0,Oppo S60,Billboard,App keeps logging me out.,No,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
45.0,Kiambu,23-Feb-21,23-Jun-21,55.0,1181.72,65151.91,0.0,1,0.0,No,0.0,Vivo C42,Unknown,Sawa kabisa!,No,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
30.0,Meru,2/18/2021,7/15/2021,55.0,879.36,48158.3,1.0,1,71.94,1,0.0,Infinix C70,Google,Network drops sometimes in the evening.,No,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27.0,Uasin Gishu,1/5/2025,2/23/2025,8.0,2528.01,20298.65,3.0,1,74.12,No,0.0,Infinix Note76,Unknown,Unknown,No,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
49.0,Nakuru,1/12/2024,11/23/2023,20.0,1578.84,31880.19,6.0,0,26.1,0,0.0,Xiaomi S9,X,Unknown,No,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
51.0,Unknown,7/28/2020,26-May-21,62.0,1048.72,135828.79,5.0,0,26.1,Yes,,Apple P20,Unknown,App keeps logging me out.,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
32.0,Unknown,25-Sep-23,1/18/2024,23.0,837.0,40709.825,2.0,1,48.59,1,0.0,Tecno Note5,Unknown,Customer care took long to respond.,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
24.0,Meru,21-Jan-21,24-Jun-21,56.0,899.86,50400.75,4.0,0,0.0,1,1.0,Tecno A72,Radio,"Stable internet, happy so far.",Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
51.0,Uasin Gishu,2/14/2022,25-Sep-22,43.0,646.97,27698.12,0.0,1,58.66,0,0.0,Tecno S30,Facebook,Unknown,No,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20.0,Nakuru,9-Mar-24,3/27/2025,18.0,1750.77,31404.61,2.0,0,0.0,No,1.0,Oppo Y82,Google,Network drops sometimes in the evening.,Yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
53.0,Meru,10/20/2021,11/1/2022,47.0,917.29,43177.44,1.0,0,26.1,No,0.0,Xiaomi P59,Unknown,Unknown,Yes,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21.0,Machakos,5/11/2019,1/15/2020,71.0,2867.69,203660.0,5.0,1,54.58,1,1.0,Realme Note51,Radio,Unknown,No,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
31.0,Nakuru,21-Dec-23,6/30/2025,20.0,2718.42,54321.62,1.0,0,26.1,Yes,0.0,Huawei A59,Radio,Fiber upgrade requested.,No,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
39.0,Mombasa,3/4/2025,8/12/2026,39.0,1319.65,40709.825,1.0,0,0.0,No,,Tecno A72,Facebook,"Stable internet, happy so far.",Yes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
45.0,Meru,6/2/2020,14/02/2020,67.0,3688.42,40709.825,4.0,0,0.0,0,0.0,Realme S34,Unknown,Please call me back.,No,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
33.0,Machakos,27/07/2019,8/30/2019,74.0,3896.5,40709.825,2.0,1,1266.11,Yes,,Realme Y41,Friend,Network drops sometimes in the evening.,No,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
30.0,Nairobi,1/23/2025,4/9/2025,7.0,846.9,6002.22,2.0,0,0.0,0,1.0,Huawei Note11,Radio,"Stable internet, happy so far.",Yes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38.0,Uasin Gishu,3/2/2019,11/24/2019,79.0,818.95,65005.0,1.0,1,93.18,1,1.0,Apple P45,Google,App keeps logging me out.,No,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29.0,Nakuru,1/18/2020,11/5/2020,68.0,1996.91,135805.67,4.0,0,0.0,No,1.0,Huawei P74,Unknown,App keeps logging me out.,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
31.0,Nakuru,8/26/2021,11/7/2021,49.0,563.68,27606.1,2.0,1,32.51,1,0.0,Nokia S48,Friend,Unknown,No,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51.0,Unknown,12/11/2020,11/1/2021,58.0,816.2,47150.5,2.0,0,0.0,Yes,1.0,Apple Note13,Friend,Unknown,No,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24.0,Meru,7/23/2023,12/1/2025,25.0,1466.18,36579.66,3.0,0,0.0,0,1.0,Apple Note13,Unknown,Fiber upgrade requested.,Yes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
33.0,Nakuru,6/12/2024,12/6/2024,14.0,669.04,40709.825,4.0,0,0.0,Yes,1.0,Vivo Note35,Billboard,Sawa kabisa!,No,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
31.0,Nakuru,5/25/2024,28-Jul-24,39.0,3790.13,40709.825,1.0,0,0.0,0,,Nokia C88,Facebook,App keeps logging me out.,Yes,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
18.0,Machakos,25/05/2021,9/8/2021,52.0,1048.72,39946.19,3.0,1,84.41,0,0.0,Huawei Note11,X,Fiber upgrade requested.,No,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3.0,Meru,7/1/2023,2/14/2024,30.0,1048.72,42345.78,1.0,1,75.22,1,1.0,Oppo C32,Facebook,Customer care took long to respond.,Yes,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
35.0,Kiambu,8/29/2019,26/07/2020,73.0,1519.61,110815.17,2.0,1,24.78,Yes,1.0,Tecno Note5,Twitter/X,Customer care took long to respond.,Yes,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
42.0,Kiambu,11/5/2020,2021/13/40,58.0,1030.93,59525.17,3.0,1,85.52,Yes,1.0,Vivo A30,Facebook,Fiber upgrade requested.,Yes,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
30.0,Nyeri,2/4/2023,7/9/2023,29.0,998.47,29022.86,3.0,0,0.0,1,0.0,Huawei P74,Unknown,Fiber upgrade requested.,No,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
32.0,Meru,9/1/2019,24/02/2019,81.0,1657.72,134382.07,4.0,0,0.0,No,0.0,Huawei C80,Unknown,Switching from competitor soon.,No,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
34.0,Kiambu,5/19/2023,6/16/2023,27.0,910.28,24531.63,3.0,1,1.94,No,0.0,Infinix S90,Unknown,"Stable internet, happy so far.",Yes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
46.0,Unknown,12/22/2021,2/19/2022,45.0,1530.06,40709.825,1.0,1,86.35,1,1.0,Oppo C89,Unknown,Switching from competitor soon.,Yes,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
